"Edad" "Sexo" "Marca"
18 "Hombre" "B"
64 "Mujer" "A"
22 "Hombre" "A"
24 "Mujer" "B"
27 "Hombre" "A"
53 "Hombre" "A"
22 "Mujer" "B"
57 "Mujer" "C"
26 "Hombre" "A"
23 "Mujer" "A"
18 "Mujer" "D"
21 "Hombre" "D"
56 "Mujer" "D"
25 "Hombre" "D"
57 "Mujer" "B"
27 "Mujer" "D"
52 "Mujer" "C"
54 "Hombre" "A"
57 "Mujer" "A"
51 "Hombre" "A"
58 "Hombre" "B"
56 "Mujer" "A"
23 "Hombre" "D"
67 "Mujer" "A"
55 "Hombre" "A"
51 "Hombre" "D"
27 "Mujer" "B"
28 "Mujer" "A"
52 "Hombre" "B"
26 "Mujer" "B"
25 "Mujer" "A"
55 "Hombre" "B"
27 "Mujer" "C"
22 "Mujer" "B"
54 "Hombre" "D"
61 "Hombre" "A"
51 "Mujer" "C"
25 "Mujer" "D"
25 "Mujer" "B"
67 "Mujer" "A"
21 "Hombre" "D"
21 "Mujer" "D"
55 "Hombre" "C"
25 "Hombre" "D"
25 "Mujer" "C"
27 "Hombre" "A"
53 "Mujer" "A"
54 "Hombre" "D"
65 "Mujer" "D"
51 "Hombre" "A"
58 "Hombre" "A"
23 "Mujer" "D"
23 "Mujer" "B"
25 "Hombre" "D"
66 "Mujer" "B"
28 "Hombre" "A"
20 "Mujer" "D"
27 "Hombre" "A"
57 "Mujer" "C"
26 "Hombre" "99"
55 "Mujer" "A"
51 "Mujer" "B"
24 "Mujer" "C"
24 "Mujer" "D"
54 "Mujer" "B"
21 "Hombre" "B"
26 "Hombre" "B"
52 "Hombre" "C"
55 "Hombre" "A"
22 "Hombre" "D"
27 "Mujer" "A"
25 "Hombre" "A"
25 "Hombre" "A"
52 "Mujer" "B"
18 "Hombre" "D"
21 "Hombre" "D"
18 "Hombre" "D"
27 "Mujer" "99"
54 "Mujer" "C"
54 "Mujer" "A"
58 "Hombre" "B"
24 "Hombre" "A"
23 "Hombre" "A"
24 "Mujer" "D"
26 "Mujer" "A"
28 "Mujer" "D"
18 "Hombre" "D"
53 "Hombre" "A"
54 "Mujer" "B"
24 "Mujer" "A"
55 "Hombre" "A"
24 "Mujer" "C"
66 "Mujer" "B"
55 "Mujer" "D"
18 "Mujer" "D"
64 "Mujer" "D"
25 "Hombre" "D"
52 "Hombre" "A"
28 "Hombre" "C"
18 "Mujer" "D"
18 "Mujer" "D"
57 "Mujer" "C"
63 "Mujer" "B"
21 "Hombre" "A"
51 "Mujer" "A"
53 "Mujer" "B"
26 "Hombre" "D"
55 "Mujer" "D"
54 "Hombre" "A"
56 "Hombre" "D"
22 "Mujer" "C"
52 "Mujer" "D"
54 "Mujer" "B"
22 "Hombre" "C"
53 "Hombre" "A"
27 "Hombre" "B"
27 "Mujer" "D"
63 "Mujer" "A"
21 "Mujer" "99"
54 "Hombre" "D"
27 "Hombre" "B"
27 "Hombre" "A"
18 "Hombre" "D"
56 "Hombre" "D"
24 "Mujer" "C"
58 "Mujer" "A"
25 "Hombre" "D"
18 "Hombre" "A"
67 "Mujer" "B"
27 "Mujer" "D"
62 "Mujer" "A"
23 "Hombre" "A"
54 "Mujer" "A"
57 "Mujer" "B"
28 "Hombre" "B"
27 "Hombre" "B"
28 "Hombre" "D"
24 "Hombre" "D"
53 "Mujer" "A"
21 "Hombre" "A"
26 "Hombre" "C"
18 "Hombre" "D"
52 "Hombre" "D"
28 "Hombre" "C"
57 "Mujer" "C"
24 "Mujer" "C"
52 "Hombre" "A"
51 "Hombre" "A"
56 "Mujer" "D"
54 "Mujer" "C"
53 "Mujer" "B"
58 "Mujer" "C"
67 "Hombre" "A"
28 "Hombre" "A"
51 "Mujer" "A"
53 "Hombre" "A"
24 "Hombre" "D"
56 "Hombre" "C"
23 "Mujer" "D"
55 "Hombre" "A"
52 "Mujer" "D"
28 "Mujer" "B"
22 "Mujer" "C"
55 "Mujer" "D"
18 "Mujer" "D"
18 "Mujer" "D"
22 "Mujer" "A"
54 "Hombre" "D"
26 "Hombre" "B"
25 "Mujer" "C"
23 "Mujer" "A"
28 "Hombre" "B"
21 "Mujer" "D"
21 "Mujer" "D"
18 "Mujer" "B"
54 "Mujer" "B"
56 "Mujer" "D"
51 "Mujer" "C"
27 "Hombre" "A"
22 "Hombre" "C"
61 "Mujer" "A"
28 "Mujer" "D"
18 "Hombre" "A"
52 "Mujer" "B"
27 "Mujer" "A"
55 "Mujer" "D"
52 "Hombre" "B"
56 "Mujer" "B"
53 "Mujer" "D"
64 "Hombre" "A"
56 "Mujer" "B"
26 "Mujer" "B"
27 "Hombre" "D"
65 "Mujer" "A"
54 "Hombre" "D"
18 "Hombre" "D"
54 "Mujer" "B"
24 "Hombre" "B"
22 "Mujer" "B"
53 "Hombre" "D"
56 "Hombre" "C"
22 "Mujer" "D"
63 "Mujer" "A"
57 "Hombre" "B"
27 "Hombre" "A"
67 "Hombre" "A"
54 "Hombre" "A"
19 "Hombre" "D"
51 "Mujer" "B"
24 "Mujer" "D"
18 "Mujer" "C"
57 "Hombre" "B"
54 "Hombre" "D"
25 "Hombre" "A"
24 "Hombre" "D"
21 "Hombre" "D"
25 "Hombre" "A"
52 "Hombre" "B"
27 "Hombre" "D"
26 "Mujer" "A"
24 "Mujer" "B"
52 "Mujer" "C"
57 "Mujer" "C"
20 "Hombre" "D"
28 "Mujer" "B"
26 "Hombre" "A"
57 "Hombre" "C"
63 "Mujer" "A"
18 "Hombre" "A"
26 "Mujer" "D"
24 "Mujer" "A"
25 "Hombre" "D"
53 "Mujer" "B"
27 "Mujer" "B"
24 "Mujer" "B"
64 "Mujer" "A"
28 "Hombre" "D"
57 "Mujer" "D"
23 "Mujer" "C"
25 "Mujer" "A"
22 "Hombre" "A"
22 "Mujer" "C"
56 "Hombre" "A"
27 "Mujer" "B"
51 "Hombre" "C"
23 "Hombre" "D"
56 "Mujer" "C"
27 "Mujer" "D"
51 "Hombre" "C"
26 "Mujer" "B"
25 "Mujer" "D"
27 "Hombre" "A"
25 "Hombre" "A"
25 "Hombre" "D"
55 "Hombre" "C"
25 "Mujer" "D"
23 "Hombre" "D"
24 "Mujer" "D"
62 "Hombre" "A"
24 "Hombre" "D"
21 "Mujer" "D"
21 "Hombre" "B"
61 "Mujer" "A"
57 "Mujer" "B"
53 "Hombre" "D"
18 "Mujer" "D"
24 "Hombre" "D"
51 "Hombre" "A"
25 "Mujer" "D"
66 "Hombre" "A"
20 "Mujer" "B"
65 "Mujer" "A"
28 "Mujer" "A"
53 "Hombre" "B"
22 "Hombre" "A"
23 "Hombre" "B"
28 "Hombre" "B"
51 "Mujer" "C"
26 "Mujer" "B"
53 "Hombre" "D"
25 "Hombre" "A"
67 "Mujer" "A"
51 "Mujer" "B"
55 "Hombre" "A"
23 "Mujer" "B"
25 "Mujer" "D"
27 "Hombre" "C"
55 "Mujer" "B"
55 "Mujer" "C"
18 "Mujer" "D"
55 "Hombre" "A"
28 "Mujer" "B"
56 "Hombre" "D"
18 "Hombre" "D"
58 "Mujer" "B"
26 "Mujer" "B"
61 "Hombre" "B"
21 "Mujer" "B"
25 "Hombre" "C"
54 "Mujer" "A"
55 "Hombre" "A"
57 "Hombre" "C"
18 "Hombre" "D"
55 "Mujer" "D"
54 "Mujer" "B"
52 "Mujer" "B"
18 "Mujer" "D"
56 "Mujer" "A"
27 "Hombre" "A"
26 "Hombre" "C"
57 "Hombre" "D"
55 "Mujer" "C"
26 "Mujer" "C"
26 "Mujer" "B"
27 "Mujer" "D"
56 "Mujer" "B"
52 "Mujer" "B"
64 "Mujer" "A"
61 "Mujer" "A"
19 "Mujer" "D"
64 "Mujer" "A"
22 "Hombre" "D"
23 "Hombre" "D"
23 "Hombre" "D"
21 "Hombre" "D"
21 "Hombre" "B"
54 "Mujer" "A"
27 "Hombre" "A"
57 "Hombre" "D"
27 "Hombre" "C"
54 "Mujer" "B"
53 "Mujer" "A"
23 "Hombre" "D"
52 "Mujer" "A"
19 "Mujer" "B"
61 "Mujer" "A"
28 "Mujer" "C"
52 "Mujer" "A"
61 "Mujer" "D"
22 "Mujer" "C"
23 "Hombre" "D"
23 "Mujer" "B"
26 "Mujer" "B"
61 "Hombre" "D"
57 "Mujer" "C"
66 "Hombre" "D"
55 "Hombre" "A"
56 "Mujer" "D"
21 "Hombre" "D"
54 "Mujer" "C"
56 "Hombre" "A"
65 "Mujer" "A"
51 "Mujer" "D"
67 "Mujer" "B"
28 "Mujer" "B"
58 "Mujer" "A"
51 "Hombre" "A"
57 "Hombre" "A"
18 "Hombre" "A"
63 "Mujer" "B"
55 "Mujer" "D"
23 "Mujer" "B"
66 "Mujer" "A"
18 "Mujer" "D"
23 "Mujer" "D"
62 "Hombre" "A"
20 "Mujer" "A"
26 "Hombre" "A"
53 "Mujer" "B"
18 "Mujer" "A"
23 "Mujer" "D"
26 "Hombre" "A"
28 "Mujer" "B"
51 "Mujer" "B"
27 "Mujer" "A"
28 "Hombre" "A"
23 "Mujer" "B"
52 "Mujer" "C"
23 "Mujer" "C"
65 "Hombre" "A"
54 "Mujer" "A"
23 "Mujer" "D"
55 "Hombre" "D"
24 "Hombre" "D"
23 "Mujer" "A"
55 "Mujer" "D"
28 "Mujer" "B"
28 "Mujer" "D"
26 "Mujer" "D"
62 "Mujer" "B"
51 "Mujer" "C"
24 "Mujer" "D"
57 "Hombre" "A"
52 "Mujer" "C"
25 "Hombre" "B"
54 "Mujer" "C"
51 "Mujer" "D"
67 "Hombre" "C"
26 "Hombre" "B"
28 "Hombre" "D"
57 "Mujer" "A"
26 "Hombre" "C"
56 "Mujer" "B"
20 "Mujer" "D"
25 "Mujer" "D"
27 "Mujer" "A"
